[2026-04-04 03:30:42] === AlphaZero Loop Start (iteration=330, games=300, sims=64+0/iter, max=64, min_chain=0) ===
[2026-04-04 03:30:42] --- Iteration 330 (sims=64, global_step=329000) ---
[2026-04-04 03:30:42] Self-play start (m=16, c_visit=50.0)
    Finished `release` profile [optimized] target(s) in 4.20s
     Running `target/release/self-play --games 300 --simulations 64 --c-puct-init 1.5 --m 16 --c-visit 50.0 --gamma 0.95 --min-chain 0 --output data/alphazero_iter_330.bin`
games=300, simulations=64, c_puct_init=1.5, c_puct_base=19652, m=16, c_visit=50, gamma=0.95
Backend: CudaJit (GPU) — Gumbel MCTS self-play (batched)
Loaded existing model from artifacts/puyo_model
Using 128 game threads, max_batch_size=128
[ 106/300] samples:   5119 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 9620/8204 | 3.38 games/s | ETA: 57s
[ 107/300] samples:   5169 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 9040/8212 | 3.30 games/s | ETA: 59s
[ 108/300] samples:   5219 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 7230/8202 | 3.07 games/s | ETA: 62s
[ 109/300] samples:   5269 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 8740/8207 | 3.05 games/s | ETA: 63s
[ 110/300] samples:   5319 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 7740/8203 | 3.08 games/s | ETA: 62s
[ 111/300] samples:   5369 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 8480/8206 | 3.10 games/s | ETA: 61s
[ 112/300] samples:   5419 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 9940/8221 | 3.13 games/s | ETA: 60s
[ 113/300] samples:   5469 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 9340/8231 | 3.15 games/s | ETA: 59s
[ 114/300] samples:   5519 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 5300/8205 | 3.17 games/s | ETA: 59s
[ 115/300] samples:   5569 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 8680/8209 | 3.18 games/s | ETA: 58s
[ 116/300] samples:   5619 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 8620/8213 | 3.20 games/s | ETA: 58s
[ 117/300] samples:   5669 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 11360/8240 | 3.22 games/s | ETA: 57s
[ 118/300] samples:   5719 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 10080/8256 | 3.25 games/s | ETA: 56s
[ 119/300] samples:   5769 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 9550/8266 | 3.27 games/s | ETA: 55s
[ 120/300] samples:   5819 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 7320/8258 | 3.29 games/s | ETA: 55s
[ 121/300] samples:   5869 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 8720/8262 | 3.32 games/s | ETA: 54s
[ 122/300] samples:   5919 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 8960/8268 | 3.34 games/s | ETA: 53s
[ 123/300] samples:   5969 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 9140/8275 | 3.36 games/s | ETA: 53s
[ 124/300] samples:   6019 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 8320/8275 | 3.39 games/s | ETA: 52s
[ 125/300] samples:   6069 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 7600/8270 | 3.42 games/s | ETA: 51s
[ 126/300] samples:   6119 | chain(game/max/avg): 5/5/3.6 | reward(game/avg): 10840/8290 | 3.44 games/s | ETA: 51s
[ 127/300] samples:   6169 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 7940/8288 | 3.47 games/s | ETA: 50s
[ 128/300] samples:   6219 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 9280/8295 | 3.50 games/s | ETA: 49s
[ 129/300] samples:   6269 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 9120/8302 | 3.52 games/s | ETA: 49s
[ 130/300] samples:   6319 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 8000/8300 | 3.55 games/s | ETA: 48s
[ 131/300] samples:   6369 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 8580/8302 | 3.58 games/s | ETA: 47s
[ 132/300] samples:   6419 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 7440/8295 | 3.60 games/s | ETA: 47s
[ 133/300] samples:   6469 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 8260/8295 | 3.63 games/s | ETA: 46s
[ 134/300] samples:   6519 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 7880/8292 | 3.65 games/s | ETA: 45s
[ 135/300] samples:   6569 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 7180/8284 | 3.68 games/s | ETA: 45s
[ 136/300] samples:   6619 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 10220/8298 | 3.70 games/s | ETA: 44s
[ 137/300] samples:   6669 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 6730/8286 | 3.73 games/s | ETA: 44s
[ 138/300] samples:   6719 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 9660/8296 | 3.75 games/s | ETA: 43s
[ 139/300] samples:   6769 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 10600/8313 | 3.78 games/s | ETA: 43s
[ 140/300] samples:   6819 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 9840/8324 | 3.80 games/s | ETA: 42s
[ 141/300] samples:   6869 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 7500/8318 | 3.83 games/s | ETA: 42s
[ 142/300] samples:   6919 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 8920/8322 | 3.86 games/s | ETA: 41s
[ 143/300] samples:   6969 | chain(game/max/avg): 4/5/3.7 | reward(game/avg): 8820/8326 | 3.88 games/s | ETA: 40s
[ 144/300] samples:   7019 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 7200/8318 | 3.91 games/s | ETA: 40s
[ 145/300] samples:   7069 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 10320/8332 | 3.93 games/s | ETA: 39s
[ 146/300] samples:   7119 | chain(game/max/avg): 4/5/3.7 | reward(game/avg): 7420/8325 | 3.96 games/s | ETA: 39s
[ 147/300] samples:   7169 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 8190/8324 | 3.99 games/s | ETA: 38s
[ 148/300] samples:   7219 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 8270/8324 | 4.01 games/s | ETA: 38s
[ 149/300] samples:   7269 | chain(game/max/avg): 4/5/3.7 | reward(game/avg): 10700/8340 | 4.04 games/s | ETA: 37s
[ 150/300] samples:   7319 | chain(game/max/avg): 4/5/3.7 | reward(game/avg): 9520/8348 | 4.06 games/s | ETA: 37s
[ 151/300] samples:   7369 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 8840/8351 | 4.09 games/s | ETA: 36s
[ 152/300] samples:   7419 | chain(game/max/avg): 4/5/3.7 | reward(game/avg): 10200/8363 | 4.11 games/s | ETA: 36s
[ 153/300] samples:   7469 | chain(game/max/avg): 4/5/3.7 | reward(game/avg): 7660/8359 | 4.14 games/s | ETA: 36s
[ 154/300] samples:   7519 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 6620/8347 | 4.16 games/s | ETA: 35s
[ 155/300] samples:   7569 | chain(game/max/avg): 4/5/3.7 | reward(game/avg): 10720/8363 | 4.19 games/s | ETA: 35s
[ 156/300] samples:   7619 | chain(game/max/avg): 4/5/3.7 | reward(game/avg): 7680/8358 | 4.21 games/s | ETA: 34s
[ 157/300] samples:   7669 | chain(game/max/avg): 4/5/3.7 | reward(game/avg): 8620/8360 | 4.24 games/s | ETA: 34s
[ 158/300] samples:   7719 | chain(game/max/avg): 3/5/3.7 | reward(game/avg): 8430/8361 | 4.26 games/s | ETA: 33s
[ 159/300] samples:   7769 | chain(game/max/avg): 4/5/3.7 | reward(game/avg): 8220/8360 | 4.29 games/s | ETA: 33s
[ 160/300] samples:   7819 | chain(game/max/avg): 4/5/3.7 | reward(game/avg): 9120/8364 | 4.31 games/s | ETA: 32s
[ 161/300] samples:   7869 | chain(game/max/avg): 4/5/3.7 | reward(game/avg): 9380/8371 | 4.34 games/s | ETA: 32s
[ 162/300] samples:   7919 | chain(game/max/avg): 4/5/3.7 | reward(game/avg): 11380/8389 | 4.37 games/s | ETA: 32s
[ 163/300] samples:   7969 | chain(game/max/avg): 3/5/3.7 | reward(game/avg): 7500/8384 | 4.39 games/s | ETA: 31s
[ 164/300] samples:   8019 | chain(game/max/avg): 4/5/3.7 | reward(game/avg): 7870/8381 | 4.42 games/s | ETA: 31s
[ 165/300] samples:   8069 | chain(game/max/avg): 3/5/3.7 | reward(game/avg): 6940/8372 | 4.44 games/s | ETA: 30s
[ 166/300] samples:   8119 | chain(game/max/avg): 4/5/3.7 | reward(game/avg): 7680/8368 | 4.47 games/s | ETA: 30s
[ 167/300] samples:   8169 | chain(game/max/avg): 4/5/3.7 | reward(game/avg): 9230/8373 | 4.49 games/s | ETA: 30s
[ 168/300] samples:   8219 | chain(game/max/avg): 4/5/3.7 | reward(game/avg): 8680/8375 | 4.51 games/s | ETA: 29s
[ 169/300] samples:   8269 | chain(game/max/avg): 4/5/3.7 | reward(game/avg): 8180/8374 | 4.54 games/s | ETA: 29s
