[2026-03-29 21:46:35] === AlphaZero Loop Start (iteration=1, games=300, sims=64+0/iter, max=64, min_chain=0) ===
[2026-03-29 21:46:35] --- Iteration 1 (sims=64, global_step=0) ---
[2026-03-29 21:46:35] Self-play start (m=16, c_visit=50.0)
    Finished `release` profile [optimized] target(s) in 5.65s
     Running `target/release/self-play --games 300 --simulations 64 --c-puct-init 1.5 --m 16 --c-visit 50.0 --gamma 0.95 --min-chain 0 --output data/alphazero_iter_1.bin`
games=300, simulations=64, c_puct_init=1.5, c_puct_base=19652, m=16, c_visit=50, gamma=0.95
Backend: CudaJit (GPU) — Gumbel MCTS self-play (batched)
Failed to load model from artifacts/puyo_model: FileNotFound("No such file or directory (os error 2)"). Initializing random weights
Using 128 game threads, max_batch_size=128
[ 156/300] samples:   1432 | chain(game/max/avg): 2/2/0.9 | reward(game/avg): 980/219 | 7.55 games/s | ETA: 19s
[ 157/300] samples:   1438 | chain(game/max/avg): 1/2/0.9 | reward(game/avg): 100/218 | 7.57 games/s | ETA: 19s
[ 158/300] samples:   1445 | chain(game/max/avg): 1/2/0.9 | reward(game/avg): 80/217 | 7.62 games/s | ETA: 19s
[ 159/300] samples:   1451 | chain(game/max/avg): 1/2/0.9 | reward(game/avg): 40/216 | 7.58 games/s | ETA: 19s
[ 160/300] samples:   1466 | chain(game/max/avg): 2/2/0.9 | reward(game/avg): 960/220 | 7.59 games/s | ETA: 18s
[ 161/300] samples:   1472 | chain(game/max/avg): 1/2/0.9 | reward(game/avg): 40/219 | 7.52 games/s | ETA: 18s
[ 162/300] samples:   1475 | chain(game/max/avg): 0/2/0.9 | reward(game/avg): 0/218 | 7.56 games/s | ETA: 18s
[ 163/300] samples:   1485 | chain(game/max/avg): 1/2/0.9 | reward(game/avg): 180/218 | 7.59 games/s | ETA: 18s
[ 164/300] samples:   1511 | chain(game/max/avg): 2/2/0.9 | reward(game/avg): 1040/223 | 7.63 games/s | ETA: 18s
[ 165/300] samples:   1539 | chain(game/max/avg): 2/2/0.9 | reward(game/avg): 1280/229 | 7.64 games/s | ETA: 18s
[ 166/300] samples:   1566 | chain(game/max/avg): 2/2/0.9 | reward(game/avg): 1420/236 | 7.69 games/s | ETA: 17s
[ 167/300] samples:   1569 | chain(game/max/avg): 0/2/0.9 | reward(game/avg): 0/235 | 7.71 games/s | ETA: 17s
[ 168/300] samples:   1595 | chain(game/max/avg): 1/2/0.9 | reward(game/avg): 640/237 | 7.73 games/s | ETA: 17s
[ 169/300] samples:   1619 | chain(game/max/avg): 2/2/0.9 | reward(game/avg): 920/241 | 7.76 games/s | ETA: 17s
[ 170/300] samples:   1630 | chain(game/max/avg): 2/2/0.9 | reward(game/avg): 440/243 | 7.74 games/s | ETA: 17s
[ 171/300] samples:   1636 | chain(game/max/avg): 1/2/0.9 | reward(game/avg): 40/241 | 7.76 games/s | ETA: 17s
[ 172/300] samples:   1641 | chain(game/max/avg): 1/2/0.9 | reward(game/avg): 40/240 | 7.78 games/s | ETA: 16s
[ 173/300] samples:   1664 | chain(game/max/avg): 2/2/0.9 | reward(game/avg): 880/244 | 7.77 games/s | ETA: 16s
[ 174/300] samples:   1687 | chain(game/max/avg): 1/2/0.9 | reward(game/avg): 640/246 | 7.77 games/s | ETA: 16s
[ 175/300] samples:   1717 | chain(game/max/avg): 1/2/0.9 | reward(game/avg): 680/249 | 7.74 games/s | ETA: 16s
[ 176/300] samples:   1734 | chain(game/max/avg): 1/2/0.9 | reward(game/avg): 460/250 | 7.71 games/s | ETA: 16s
[ 177/300] samples:   1763 | chain(game/max/avg): 2/2/0.9 | reward(game/avg): 1300/256 | 7.69 games/s | ETA: 16s
[ 178/300] samples:   1790 | chain(game/max/avg): 2/2/0.9 | reward(game/avg): 1280/262 | 7.72 games/s | ETA: 16s
[ 179/300] samples:   1794 | chain(game/max/avg): 0/2/0.9 | reward(game/avg): 0/260 | 7.72 games/s | ETA: 16s
[ 180/300] samples:   1821 | chain(game/max/avg): 1/2/0.9 | reward(game/avg): 620/262 | 7.71 games/s | ETA: 16s
[ 181/300] samples:   1842 | chain(game/max/avg): 2/2/0.9 | reward(game/avg): 980/266 | 7.51 games/s | ETA: 16s
[ 182/300] samples:   1863 | chain(game/max/avg): 2/2/0.9 | reward(game/avg): 660/268 | 7.43 games/s | ETA: 16s
[ 183/300] samples:   1866 | chain(game/max/avg): 0/2/0.9 | reward(game/avg): 0/267 | 7.26 games/s | ETA: 16s
