[2026-04-06 17:58:46] --- Iteration 101 (sims=512, global_step=100000) ---
[2026-04-06 17:58:46] Self-play start (m=24, c_visit=50.0, num_gpus=1, games_per_gpu=1000, total=1000)
[gpu0]     Finished `release` profile [optimized] target(s) in 0.30s
[gpu0]      Running `target/release/self-play --games 1000 --simulations 512 --c-puct-init 1.5 --c-puct-base 19652.0 --m 24 --c-visit 50.0 --gamma 0.95 --min-chain 0 --threads 512 --batch-size 2048 --num-leaves 1 --model-path runs/rtx5090-3/artifacts/puyo_model --cols 6 --rows 14 --num-colors 4 --residual-channels 128 --num-blocks 6 --policy-conv-channels 2 --value-conv-channels 1 --value-hidden 64 --film-hidden 128 --output runs/rtx5090-3/data/alphazero_iter_101_gpu0.bin`
[gpu0] games=1000, simulations=512, c_puct_init=1.5, c_puct_base=19652, m=24, c_visit=50, gamma=0.95, num_leaves=1, min_chain=0
[gpu0] Game config: cols=6, rows=14, num_colors=4, residual_channels=128, num_blocks=6, policy_conv_ch=2, value_conv_ch=1, value_hidden=64, film_hidden=128
[gpu0] Backend: Cuda (GPU) — Gumbel MCTS self-play (batched)
[gpu0] Loaded existing model from runs/rtx5090-3/artifacts/puyo_model
[gpu0] Using 512 game threads, max_batch_size=2048
[gpu0] [  86/1000] samples:   4300 | chain(game/max/avg): 4/9/5.9 | reward(game/avg): 11100/20228 | 0.38 games/s | ETA: 2393s
[gpu0] [  87/1000] samples:   4350 | chain(game/max/avg): 8/9/5.9 | reward(game/avg): 46510/20530 | 0.39 games/s | ETA: 2363s
[gpu0] [  88/1000] samples:   4400 | chain(game/max/avg): 5/9/5.9 | reward(game/avg): 14500/20461 | 0.39 games/s | ETA: 2333s
[gpu0] [  89/1000] samples:   4450 | chain(game/max/avg): 5/9/5.9 | reward(game/avg): 17890/20432 | 0.40 games/s | ETA: 2304s
[gpu0] [  90/1000] samples:   4500 | chain(game/max/avg): 6/9/5.9 | reward(game/avg): 22780/20458 | 0.40 games/s | ETA: 2276s
[gpu0] [  91/1000] samples:   4550 | chain(game/max/avg): 6/9/5.9 | reward(game/avg): 13160/20378 | 0.40 games/s | ETA: 2249s
[gpu0] [  92/1000] samples:   4600 | chain(game/max/avg): 6/9/5.9 | reward(game/avg): 19620/20370 | 0.41 games/s | ETA: 2222s
[gpu0] [  93/1000] samples:   4650 | chain(game/max/avg): 4/9/5.9 | reward(game/avg): 11940/20279 | 0.41 games/s | ETA: 2196s
[gpu0] [  94/1000] samples:   4700 | chain(game/max/avg): 4/9/5.9 | reward(game/avg): 6380/20131 | 0.42 games/s | ETA: 2170s
[gpu0] [  95/1000] samples:   4750 | chain(game/max/avg): 5/9/5.8 | reward(game/avg): 25730/20190 | 0.42 games/s | ETA: 2145s
[gpu0] [  96/1000] samples:   4800 | chain(game/max/avg): 7/9/5.9 | reward(game/avg): 31260/20306 | 0.43 games/s | ETA: 2120s
[gpu0] [  97/1000] samples:   4850 | chain(game/max/avg): 5/9/5.8 | reward(game/avg): 10070/20200 | 0.43 games/s | ETA: 2096s
[gpu0] [  98/1000] samples:   4900 | chain(game/max/avg): 5/9/5.8 | reward(game/avg): 18040/20178 | 0.44 games/s | ETA: 2072s
[gpu0] [  99/1000] samples:   4950 | chain(game/max/avg): 7/9/5.8 | reward(game/avg): 30540/20283 | 0.44 games/s | ETA: 2049s
[gpu0] [ 100/1000] samples:   5000 | chain(game/max/avg): 4/9/5.8 | reward(game/avg): 12430/20204 | 0.44 games/s | ETA: 2026s
[gpu0] [ 101/1000] samples:   5050 | chain(game/max/avg): 5/9/5.8 | reward(game/avg): 10640/20110 | 0.45 games/s | ETA: 2004s
[gpu0] [ 102/1000] samples:   5100 | chain(game/max/avg): 5/9/5.8 | reward(game/avg): 14320/20053 | 0.45 games/s | ETA: 1982s
[gpu0] [ 103/1000] samples:   5150 | chain(game/max/avg): 5/9/5.8 | reward(game/avg): 16980/20023 | 0.46 games/s | ETA: 1961s
[gpu0] [ 104/1000] samples:   5200 | chain(game/max/avg): 4/9/5.8 | reward(game/avg): 9220/19919 | 0.46 games/s | ETA: 1940s
[gpu0] [ 105/1000] samples:   5250 | chain(game/max/avg): 6/9/5.8 | reward(game/avg): 21460/19934 | 0.47 games/s | ETA: 1919s
[gpu0] [ 106/1000] samples:   5300 | chain(game/max/avg): 5/9/5.8 | reward(game/avg): 19960/19934 | 0.47 games/s | ETA: 1899s
[gpu0] [ 107/1000] samples:   5350 | chain(game/max/avg): 5/9/5.8 | reward(game/avg): 22060/19954 | 0.48 games/s | ETA: 1879s
[gpu0] [ 108/1000] samples:   5400 | chain(game/max/avg): 5/9/5.8 | reward(game/avg): 11180/19873 | 0.48 games/s | ETA: 1860s
[gpu0] [ 109/1000] samples:   5450 | chain(game/max/avg): 5/9/5.8 | reward(game/avg): 12100/19801 | 0.48 games/s | ETA: 1840s
[gpu0] [ 110/1000] samples:   5500 | chain(game/max/avg): 5/9/5.8 | reward(game/avg): 17270/19778 | 0.49 games/s | ETA: 1822s
[gpu0] [ 111/1000] samples:   5550 | chain(game/max/avg): 7/9/5.8 | reward(game/avg): 26120/19835 | 0.49 games/s | ETA: 1803s
[gpu0] [ 112/1000] samples:   5600 | chain(game/max/avg): 4/9/5.8 | reward(game/avg): 11370/19760 | 0.50 games/s | ETA: 1785s
[gpu0] [ 113/1000] samples:   5650 | chain(game/max/avg): 5/9/5.7 | reward(game/avg): 18870/19752 | 0.50 games/s | ETA: 1767s
[gpu0] [ 114/1000] samples:   5700 | chain(game/max/avg): 6/9/5.7 | reward(game/avg): 17320/19731 | 0.51 games/s | ETA: 1750s
[gpu0] [ 115/1000] samples:   5750 | chain(game/max/avg): 4/9/5.7 | reward(game/avg): 10720/19652 | 0.51 games/s | ETA: 1733s
[gpu0] [ 116/1000] samples:   5800 | chain(game/max/avg): 6/9/5.7 | reward(game/avg): 20980/19664 | 0.52 games/s | ETA: 1716s
[gpu0] [ 117/1000] samples:   5850 | chain(game/max/avg): 7/9/5.7 | reward(game/avg): 32230/19771 | 0.52 games/s | ETA: 1699s
